order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit
CA-2020-100028,2020-02-14,2020-02-20,Same Day,C100028,Customer 28,Corporate,United States,Houston,Texas,77001,Central,P100028,Office Supplies,Binders,Binder,732.74,5,0.0,63.16
CA-2022-100029,2022-03-16,2022-03-22,Second Class,C100029,Customer 29,Home Office,United States,Houston,Texas,77001,Central,P100029,Technology,Machines,Printer,748.38,9,0.3,177.04
CA-2020-100030,2020-12-09,2020-12-11,Standard Class,C100030,Customer 30,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100030,Technology,Machines,Printer,566.18,4,0.1,131.92
CA-2021-100031,2021-07-11,2021-07-14,Standard Class,C100031,Customer 31,Home Office,United States,Chicago,Illinois,60601,Central,P100031,Furniture,Chairs,Office Chair,353.9,3,0.3,51.5
CA-2022-100032,2022-09-11,2022-09-18,Same Day,C100032,Customer 32,Home Office,United States,Seattle,Washington,98101,West,P100032,Furniture,Tables,Conference Table,1751.67,5,0.1,417.2
CA-2020-100033,2020-03-09,2020-03-16,Second Class,C100033,Customer 33,Home Office,United States,Philadelphia,Pennsylvania,19104,East,P100033,Office Supplies,Storage,Storage Box,1086.0,6,0.3,123.18
CA-2022-100034,2022-05-13,2022-05-15,First Class,C100034,Customer 34,Consumer,United States,Houston,Texas,77001,Central,P100034,Office Supplies,Storage,Storage Box,1872.06,9,0.2,70.24
CA-2021-100035,2021-09-25,2021-09-30,Second Class,C100035,Customer 35,Home Office,United States,Philadelphia,Pennsylvania,19104,East,P100035,Furniture,Bookcases,Bookcase,883.26,6,0.1,241.42
CA-2020-100036,2020-07-14,2020-07-21,First Class,C100036,Customer 36,Corporate,United States,Seattle,Washington,98101,West,P100036,Furniture,Tables,Conference Table,369.07,5,0.3,19.01
CA-2019-100037,2019-07-18,2019-07-21,Same Day,C100037,Customer 37,Corporate,United States,Houston,Texas,77001,Central,P100037,Furniture,Tables,Conference Table,643.11,9,0.0,174.81
CA-2019-100038,2019-07-17,2019-07-22,First Class,C100038,Customer 38,Corporate,United States,Chicago,Illinois,60601,Central,P100038,Technology,Machines,Printer,353.22,5,0.1,77.03
CA-2022-100039,2022-07-04,2022-07-07,Second Class,C100039,Customer 39,Home Office,United States,Los Angeles,California,90001,West,P100039,Technology,Phones,Smartphone,1880.01,9,0.0,315.58
CA-2021-100040,2021-05-12,2021-05-17,Standard Class,C100040,Customer 40,Home Office,United States,Houston,Texas,77001,Central,P100040,Technology,Accessories,Mouse,1832.58,3,0.0,493.82
CA-2020-100041,2020-04-01,2020-04-03,First Class,C100041,Customer 41,Corporate,United States,Seattle,Washington,98101,West,P100041,Office Supplies,Binders,Binder,941.62,8,0.1,249.36
CA-2020-100042,2020-03-29,2020-04-02,Second Class,C100042,Customer 42,Home Office,United States,New York,New York,10001,East,P100042,Furniture,Bookcases,Bookcase,1656.63,5,0.2,314.41
CA-2022-100043,2022-09-27,2022-09-30,Same Day,C100043,Customer 43,Consumer,United States,Houston,Texas,77001,Central,P100043,Technology,Accessories,Mouse,41.53,4,0.0,10.15
CA-2021-100044,2021-06-07,2021-06-14,Same Day,C100044,Customer 44,Home Office,United States,New York,New York,10001,East,P100044,Office Supplies,Storage,Storage Box,542.82,9,0.3,125.55
CA-2020-100045,2020-12-23,2020-12-24,Second Class,C100045,Customer 45,Consumer,United States,Seattle,Washington,98101,West,P100045,Office Supplies,Paper,Copy Paper,1493.94,4,0.2,330.41
CA-2021-100046,2021-10-30,2021-11-01,Standard Class,C100046,Customer 46,Consumer,United States,New York,New York,10001,East,P100046,Furniture,Chairs,Office Chair,1072.87,7,0.2,162.83
CA-2021-100047,2021-03-06,2021-03-08,Second Class,C100047,Customer 47,Home Office,United States,Chicago,Illinois,60601,Central,P100047,Office Supplies,Binders,Binder,1757.38,7,0.1,156.24
CA-2022-100048,2022-12-09,2022-12-16,First Class,C100048,Customer 48,Corporate,United States,Los Angeles,California,90001,West,P100048,Office Supplies,Binders,Binder,942.65,9,0.1,76.98
CA-2019-100049,2019-06-18,2019-06-23,Standard Class,C100049,Customer 49,Home Office,United States,Los Angeles,California,90001,West,P100049,Technology,Accessories,Mouse,668.38,1,0.3,149.27
CA-2020-100050,2020-09-02,2020-09-07,Standard Class,C100050,Customer 50,Corporate,United States,New York,New York,10001,East,P100050,Furniture,Chairs,Office Chair,737.74,6,0.1,68.77
CA-2020-100051,2020-02-01,2020-02-05,Same Day,C100051,Customer 51,Consumer,United States,Houston,Texas,77001,Central,P100051,Technology,Phones,Smartphone,1391.36,3,0.3,357.91
CA-2022-100052,2022-01-23,2022-01-26,First Class,C100052,Customer 52,Corporate,United States,Chicago,Illinois,60601,Central,P100052,Furniture,Bookcases,Bookcase,491.0,3,0.1,106.15
CA-2022-100053,2022-04-12,2022-04-15,Same Day,C100053,Customer 53,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100053,Furniture,Chairs,Office Chair,1092.9,5,0.3,-2.88
CA-2019-100054,2019-09-27,2019-10-03,Second Class,C100054,Customer 54,Corporate,United States,Houston,Texas,77001,Central,P100054,Furniture,Tables,Conference Table,1296.88,5,0.1,62.84
CA-2022-100055,2022-01-09,2022-01-15,Same Day,C100055,Customer 55,Corporate,United States,Seattle,Washington,98101,West,P100055,Office Supplies,Paper,Copy Paper,1560.52,4,0.2,225.38
CA-2020-100056,2020-03-23,2020-03-26,First Class,C100056,Customer 56,Corporate,United States,Los Angeles,California,90001,West,P100056,Office Supplies,Storage,Storage Box,1974.29,1,0.2,128.4
CA-2019-100057,2019-02-15,2019-02-17,First Class,C100057,Customer 57,Home Office,United States,Seattle,Washington,98101,West,P100057,Furniture,Chairs,Office Chair,458.91,8,0.2,51.65
CA-2019-100058,2019-12-10,2019-12-12,Standard Class,C100058,Customer 58,Consumer,United States,Los Angeles,California,90001,West,P100058,Furniture,Tables,Conference Table,1702.95,10,0.0,206.25
CA-2019-100059,2019-02-10,2019-02-13,Second Class,C100059,Customer 59,Corporate,United States,Seattle,Washington,98101,West,P100059,Office Supplies,Paper,Copy Paper,1880.59,10,0.3,216.14
CA-2020-100060,2020-10-01,2020-10-04,Second Class,C100060,Customer 60,Home Office,United States,Philadelphia,Pennsylvania,19104,East,P100060,Furniture,Chairs,Office Chair,159.86,9,0.1,29.6
CA-2022-100061,2022-07-17,2022-07-20,Standard Class,C100061,Customer 61,Consumer,United States,Chicago,Illinois,60601,Central,P100061,Technology,Accessories,Mouse,1702.41,3,0.2,47.57
CA-2020-100062,2020-04-04,2020-04-11,Second Class,C100062,Customer 62,Home Office,United States,Houston,Texas,77001,Central,P100062,Technology,Machines,Printer,250.15,10,0.3,16.53
CA-2022-100063,2022-02-11,2022-02-13,First Class,C100063,Customer 63,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100063,Furniture,Chairs,Office Chair,1570.72,3,0.1,286.45
CA-2021-100064,2021-12-22,2021-12-26,Same Day,C100064,Customer 64,Home Office,United States,Houston,Texas,77001,Central,P100064,Furniture,Chairs,Office Chair,538.95,4,0.1,38.96
CA-2021-100065,2021-11-19,2021-11-22,Standard Class,C100065,Customer 65,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100065,Technology,Machines,Printer,1095.3,6,0.3,31.03
CA-2019-100066,2019-02-19,2019-02-26,First Class,C100066,Customer 66,Home Office,United States,Seattle,Washington,98101,West,P100066,Office Supplies,Paper,Copy Paper,1746.4,7,0.1,394.08
CA-2019-100067,2019-07-08,2019-07-09,Standard Class,C100067,Customer 67,Home Office,United States,Houston,Texas,77001,Central,P100067,Technology,Machines,Printer,1321.44,7,0.3,145.99
CA-2020-100068,2020-03-23,2020-03-30,Second Class,C100068,Customer 68,Home Office,United States,Houston,Texas,77001,Central,P100068,Furniture,Chairs,Office Chair,1538.24,2,0.1,376.36
CA-2019-100069,2019-02-15,2019-02-16,Same Day,C100069,Customer 69,Home Office,United States,Houston,Texas,77001,Central,P100069,Technology,Accessories,Mouse,129.18,7,0.3,1.86
CA-2022-100070,2022-11-25,2022-11-30,First Class,C100070,Customer 70,Home Office,United States,Chicago,Illinois,60601,Central,P100070,Office Supplies,Storage,Storage Box,1177.26,9,0.2,264.65
CA-2019-100071,2019-01-28,2019-02-01,Same Day,C100071,Customer 71,Home Office,United States,Seattle,Washington,98101,West,P100071,Office Supplies,Paper,Copy Paper,721.55,5,0.0,197.29
CA-2021-100072,2021-05-29,2021-06-01,First Class,C100072,Customer 72,Consumer,United States,Chicago,Illinois,60601,Central,P100072,Office Supplies,Storage,Storage Box,1314.33,10,0.3,277.18
CA-2021-100073,2021-11-16,2021-11-20,Second Class,C100073,Customer 73,Consumer,United States,Seattle,Washington,98101,West,P100073,Furniture,Tables,Conference Table,837.94,8,0.1,147.17
CA-2019-100074,2019-03-13,2019-03-20,Second Class,C100074,Customer 74,Home Office,United States,Seattle,Washington,98101,West,P100074,Office Supplies,Binders,Binder,60.03,9,0.1,7.18
CA-2019-100075,2019-10-24,2019-10-30,Standard Class,C100075,Customer 75,Home Office,United States,New York,New York,10001,East,P100075,Furniture,Tables,Conference Table,1808.38,8,0.3,74.79
CA-2022-100076,2022-06-04,2022-06-06,Same Day,C100076,Customer 76,Home Office,United States,Chicago,Illinois,60601,Central,P100076,Technology,Machines,Printer,1614.52,10,0.3,346.88
CA-2019-100077,2019-07-08,2019-07-11,Second Class,C100077,Customer 77,Home Office,United States,Houston,Texas,77001,Central,P100077,Technology,Phones,Smartphone,167.32,7,0.1,53.44
CA-2020-100078,2020-01-16,2020-01-17,First Class,C100078,Customer 78,Home Office,United States,Los Angeles,California,90001,West,P100078,Technology,Machines,Printer,71.61,4,0.1,7.3
CA-2020-100079,2020-12-15,2020-12-22,Standard Class,C100079,Customer 79,Corporate,United States,Los Angeles,California,90001,West,P100079,Office Supplies,Paper,Copy Paper,1538.37,6,0.2,120.15
CA-2019-100080,2019-07-07,2019-07-13,Second Class,C100080,Customer 80,Home Office,United States,Houston,Texas,77001,Central,P100080,Office Supplies,Binders,Binder,812.19,2,0.3,135.97
CA-2021-100081,2021-05-29,2021-05-31,Second Class,C100081,Customer 81,Consumer,United States,Chicago,Illinois,60601,Central,P100081,Furniture,Chairs,Office Chair,1142.66,4,0.2,26.91
CA-2019-100082,2019-08-03,2019-08-04,First Class,C100082,Customer 82,Consumer,United States,Chicago,Illinois,60601,Central,P100082,Office Supplies,Paper,Copy Paper,1778.82,9,0.2,498.98
CA-2022-100083,2022-07-09,2022-07-16,Second Class,C100083,Customer 83,Consumer,United States,New York,New York,10001,East,P100083,Technology,Machines,Printer,617.17,3,0.2,79.03
CA-2021-100084,2021-02-24,2021-03-03,Second Class,C100084,Customer 84,Corporate,United States,Los Angeles,California,90001,West,P100084,Technology,Machines,Printer,1324.9,3,0.1,396.97
CA-2020-100085,2020-08-17,2020-08-19,Same Day,C100085,Customer 85,Corporate,United States,Los Angeles,California,90001,West,P100085,Technology,Machines,Printer,1212.02,7,0.2,163.53
CA-2021-100086,2021-12-09,2021-12-13,First Class,C100086,Customer 86,Consumer,United States,Los Angeles,California,90001,West,P100086,Office Supplies,Binders,Binder,389.66,8,0.0,78.12
CA-2019-100087,2019-03-21,2019-03-25,Same Day,C100087,Customer 87,Home Office,United States,New York,New York,10001,East,P100087,Furniture,Bookcases,Bookcase,855.24,8,0.0,223.66
CA-2022-100088,2022-11-26,2022-12-02,First Class,C100088,Customer 88,Corporate,United States,Chicago,Illinois,60601,Central,P100088,Technology,Machines,Printer,1313.71,7,0.0,211.97
CA-2019-100089,2019-07-26,2019-07-30,Same Day,C100089,Customer 89,Consumer,United States,Houston,Texas,77001,Central,P100089,Furniture,Chairs,Office Chair,1437.7,2,0.3,282.7
CA-2022-100090,2022-01-22,2022-01-27,First Class,C100090,Customer 90,Corporate,United States,New York,New York,10001,East,P100090,Office Supplies,Binders,Binder,173.49,1,0.2,12.67
CA-2020-100091,2020-12-06,2020-12-10,Same Day,C100091,Customer 91,Consumer,United States,Houston,Texas,77001,Central,P100091,Technology,Machines,Printer,1735.98,10,0.1,98.44
CA-2020-100092,2020-11-12,2020-11-18,First Class,C100092,Customer 92,Consumer,United States,Seattle,Washington,98101,West,P100092,Technology,Phones,Smartphone,142.43,7,0.2,7.02
CA-2020-100093,2020-08-05,2020-08-09,First Class,C100093,Customer 93,Corporate,United States,New York,New York,10001,East,P100093,Technology,Phones,Smartphone,809.73,1,0.2,91.41
CA-2022-100094,2022-06-09,2022-06-13,Same Day,C100094,Customer 94,Home Office,United States,Los Angeles,California,90001,West,P100094,Technology,Accessories,Mouse,1732.95,8,0.0,369.23
CA-2020-100095,2020-05-16,2020-05-17,Standard Class,C100095,Customer 95,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100095,Office Supplies,Binders,Binder,152.85,6,0.1,34.49
CA-2021-100096,2021-01-24,2021-01-27,Second Class,C100096,Customer 96,Corporate,United States,Seattle,Washington,98101,West,P100096,Technology,Phones,Smartphone,581.44,7,0.0,62.05
CA-2022-100097,2022-03-05,2022-03-09,Standard Class,C100097,Customer 97,Corporate,United States,Seattle,Washington,98101,West,P100097,Furniture,Chairs,Office Chair,1031.32,10,0.0,185.74
CA-2020-100098,2020-02-24,2020-03-01,Standard Class,C100098,Customer 98,Home Office,United States,Chicago,Illinois,60601,Central,P100098,Furniture,Tables,Conference Table,1618.57,10,0.0,217.77
CA-2020-100099,2020-08-15,2020-08-22,First Class,C100099,Customer 99,Corporate,United States,Seattle,Washington,98101,West,P100099,Technology,Machines,Printer,68.05,6,0.1,19.57
CA-2021-100100,2021-04-09,2021-04-16,Second Class,C100100,Customer 100,Corporate,United States,Philadelphia,Pennsylvania,19104,East,P100100,Furniture,Tables,Conference Table,1309.42,10,0.1,396.06
CA-2021-100101,2021-01-03,2021-01-07,First Class,C100101,Customer 101,Home Office,United States,Los Angeles,California,90001,West,P100101,Office Supplies,Storage,Storage Box,796.92,5,0.3,166.97
CA-2019-100102,2019-01-17,2019-01-19,Same Day,C100102,Customer 102,Corporate,United States,Chicago,Illinois,60601,Central,P100102,Office Supplies,Paper,Copy Paper,303.73,3,0.0,88.99
CA-2020-100103,2020-04-05,2020-04-11,First Class,C100103,Customer 103,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100103,Office Supplies,Storage,Storage Box,993.88,3,0.2,32.22
CA-2022-100104,2022-04-07,2022-04-08,Same Day,C100104,Customer 104,Consumer,United States,Houston,Texas,77001,Central,P100104,Technology,Phones,Smartphone,1774.95,5,0.1,176.41
CA-2022-100105,2022-08-17,2022-08-18,Second Class,C100105,Customer 105,Consumer,United States,New York,New York,10001,East,P100105,Technology,Accessories,Mouse,1770.17,4,0.2,247.46
CA-2022-100106,2022-03-29,2022-04-03,Standard Class,C100106,Customer 106,Home Office,United States,Philadelphia,Pennsylvania,19104,East,P100106,Furniture,Bookcases,Bookcase,1522.62,6,0.3,175.12
CA-2022-100107,2022-11-29,2022-12-01,First Class,C100107,Customer 107,Corporate,United States,Houston,Texas,77001,Central,P100107,Furniture,Bookcases,Bookcase,105.16,2,0.0,31.89
CA-2022-100108,2022-06-15,2022-06-17,Same Day,C100108,Customer 108,Consumer,United States,Houston,Texas,77001,Central,P100108,Furniture,Tables,Conference Table,1217.15,8,0.1,231.56
CA-2021-100109,2021-09-22,2021-09-26,Standard Class,C100109,Customer 109,Corporate,United States,Los Angeles,California,90001,West,P100109,Furniture,Tables,Conference Table,149.31,1,0.0,40.51
CA-2019-100110,2019-09-28,2019-10-04,Second Class,C100110,Customer 110,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100110,Office Supplies,Storage,Storage Box,1511.16,5,0.1,433.79
CA-2019-100111,2019-02-09,2019-02-11,Standard Class,C100111,Customer 111,Consumer,United States,New York,New York,10001,East,P100111,Furniture,Chairs,Office Chair,1057.23,10,0.3,260.88
CA-2021-100112,2021-08-09,2021-08-13,Same Day,C100112,Customer 112,Consumer,United States,Seattle,Washington,98101,West,P100112,Furniture,Tables,Conference Table,505.01,6,0.1,89.3
CA-2020-100113,2020-09-19,2020-09-20,First Class,C100113,Customer 113,Consumer,United States,Houston,Texas,77001,Central,P100113,Technology,Machines,Printer,231.21,4,0.1,73.47
CA-2019-100114,2019-02-10,2019-02-12,Second Class,C100114,Customer 114,Consumer,United States,Los Angeles,California,90001,West,P100114,Furniture,Tables,Conference Table,479.34,3,0.1,41.38
CA-2020-100115,2020-08-20,2020-08-27,Standard Class,C100115,Customer 115,Home Office,United States,New York,New York,10001,East,P100115,Furniture,Bookcases,Bookcase,1919.65,7,0.1,173.8
CA-2020-100116,2020-08-10,2020-08-13,Same Day,C100116,Customer 116,Corporate,United States,Los Angeles,California,90001,West,P100116,Furniture,Bookcases,Bookcase,583.23,9,0.2,141.71
CA-2021-100117,2021-10-02,2021-10-04,Second Class,C100117,Customer 117,Consumer,United States,Los Angeles,California,90001,West,P100117,Furniture,Tables,Conference Table,1555.15,5,0.0,186.0
CA-2022-100118,2022-03-09,2022-03-11,Standard Class,C100118,Customer 118,Home Office,United States,Los Angeles,California,90001,West,P100118,Furniture,Tables,Conference Table,1234.04,6,0.1,374.88
CA-2020-100119,2020-03-02,2020-03-03,First Class,C100119,Customer 119,Corporate,United States,Chicago,Illinois,60601,Central,P100119,Furniture,Chairs,Office Chair,1432.58,9,0.2,111.65
CA-2022-100120,2022-03-21,2022-03-26,First Class,C100120,Customer 120,Corporate,United States,Chicago,Illinois,60601,Central,P100120,Furniture,Chairs,Office Chair,985.52,10,0.3,72.57
CA-2022-100121,2022-01-28,2022-02-03,First Class,C100121,Customer 121,Consumer,United States,Houston,Texas,77001,Central,P100121,Furniture,Chairs,Office Chair,1184.39,5,0.1,358.62
CA-2022-100122,2022-12-21,2022-12-23,Second Class,C100122,Customer 122,Corporate,United States,Seattle,Washington,98101,West,P100122,Technology,Accessories,Mouse,1542.38,6,0.2,51.93
CA-2019-100123,2019-03-17,2019-03-20,Same Day,C100123,Customer 123,Home Office,United States,New York,New York,10001,East,P100123,Office Supplies,Paper,Copy Paper,556.79,6,0.0,85.13
CA-2019-100124,2019-05-06,2019-05-11,Second Class,C100124,Customer 124,Consumer,United States,Los Angeles,California,90001,West,P100124,Furniture,Tables,Conference Table,212.49,1,0.1,9.09
CA-2020-100125,2020-06-18,2020-06-24,First Class,C100125,Customer 125,Corporate,United States,Los Angeles,California,90001,West,P100125,Technology,Accessories,Mouse,1330.28,8,0.3,337.62
CA-2022-100126,2022-03-15,2022-03-17,Same Day,C100126,Customer 126,Consumer,United States,Seattle,Washington,98101,West,P100126,Technology,Phones,Smartphone,1495.39,8,0.1,249.33
CA-2019-100127,2019-05-22,2019-05-24,Second Class,C100127,Customer 127,Consumer,United States,Philadelphia,Pennsylvania,19104,East,P100127,Furniture,Bookcases,Bookcase,1287.67,2,0.1,414.66
CA-2019-100128,2019-06-01,2019-06-05,Standard Class,C100128,Customer 128,Consumer,United States,Houston,Texas,77001,Central,P100128,Furniture,Bookcases,Bookcase,74.26,8,0.0,13.4
CA-2019-100129,2019-06-30,2019-07-03,First Class,C100129,Customer 129,Corporate,United States,Philadelphia,Pennsylvania,19104,East,P100129,Furniture,Chairs,Office Chair,904.41,8,0.1,96.31
CA-2019-100130,2019-02-13,2019-02-16,Same Day,C100130,Customer 130,Home Office,United States,Los Angeles,California,90001,West,P100130,Office Supplies,Paper,Copy Paper,364.17,6,0.3,0.67
CA-2022-100131,2022-01-26,2022-01-30,Same Day,C100131,Customer 131,Corporate,United States,Seattle,Washington,98101,West,P100131,Technology,Machines,Printer,582.58,9,0.3,50.58
CA-2021-100132,2021-12-26,2022-01-01,Same Day,C100132,Customer 132,Corporate,United States,Houston,Texas,77001,Central,P100132,Technology,Accessories,Mouse,677.56,7,0.0,206.75
CA-2021-100133,2021-02-05,2021-02-09,First Class,C100133,Customer 133,Home Office,United States,Seattle,Washington,98101,West,P100133,Office Supplies,Storage,Storage Box,1900.04,4,0.0,439.53
CA-2019-100134,2019-03-11,2019-03-17,Same Day,C100134,Customer 134,Corporate,United States,Houston,Texas,77001,Central,P100134,Office Supplies,Binders,Binder,146.36,8,0.1,44.62
CA-2022-100135,2022-06-05,2022-06-11,Standard Class,C100135,Customer 135,Corporate,United States,New York,New York,10001,East,P100135,Furniture,Chairs,Office Chair,483.65,2,0.3,49.86
CA-2020-100136,2020-05-11,2020-05-16,Standard Class,C100136,Customer 136,Consumer,United States,Seattle,Washington,98101,West,P100136,Technology,Phones,Smartphone,1983.4,10,0.1,84.37
CA-2021-100137,2021-08-28,2021-08-30,First Class,C100137,Customer 137,Consumer,United States,Seattle,Washington,98101,West,P100137,Office Supplies,Storage,Storage Box,1038.92,5,0.0,243.37
CA-2022-100138,2022-07-18,2022-07-20,Same Day,C100138,Customer 138,Corporate,United States,New York,New York,10001,East,P100138,Office Supplies,Storage,Storage Box,1214.76,8,0.0,202.98
CA-2020-100139,2020-10-04,2020-10-11,Second Class,C100139,Customer 139,Corporate,United States,Chicago,Illinois,60601,Central,P100139,Office Supplies,Binders,Binder,1206.15,2,0.0,219.76
CA-2021-100140,2021-03-02,2021-03-05,Standard Class,C100140,Customer 140,Home Office,United States,Chicago,Illinois,60601,Central,P100140,Technology,Accessories,Mouse,1400.43,5,0.1,205.19
CA-2022-100141,2022-03-03,2022-03-09,First Class,C100141,Customer 141,Home Office,United States,Philadelphia,Pennsylvania,19104,East,P100141,Technology,Phones,Smartphone,297.49,3,0.3,8.93
CA-2019-100142,2019-01-04,2019-01-06,Second Class,C100142,Customer 142,Consumer,United States,Seattle,Washington,98101,West,P100142,Technology,Accessories,Mouse,1869.93,3,0.3,469.8
CA-2020-100143,2020-02-03,2020-02-10,First Class,C100143,Customer 143,Corporate,United States,Los Angeles,California,90001,West,P100143,Office Supplies,Paper,Copy Paper,1079.61,8,0.3,153.41
CA-2021-100144,2021-10-17,2021-10-24,Standard Class,C100144,Customer 144,Consumer,United States,Los Angeles,California,90001,West,P100144,Furniture,Tables,Conference Table,486.95,8,0.2,65.38
CA-2020-100145,2020-05-14,2020-05-20,Same Day,C100145,Customer 145,Corporate,United States,Seattle,Washington,98101,West,P100145,Technology,Accessories,Mouse,922.44,6,0.2,58.25
CA-2022-100146,2022-06-08,2022-06-11,First Class,C100146,Customer 146,Consumer,United States,Chicago,Illinois,60601,Central,P100146,Furniture,Chairs,Office Chair,1268.44,1,0.3,112.79
CA-2021-100147,2021-11-21,2021-11-26,First Class,C100147,Customer 147,Home Office,United States,Los Angeles,California,90001,West,P100147,Furniture,Chairs,Office Chair,1318.64,1,0.1,229.47
